de,            de_forms,                                                                      en,             en_expanded,          irregular, freq_percentile, de_expanded, de_examples, en_examples
schwingen      ,schwingen    ;schwingt         ;schwang            ;hat#geschwungen           ,swing          ,                     ,true, 0.5,,,
schwören       ,schwören     ;schwört          ;schwor/schwur      ;hat#geschworen            ,swear          ,                     ,true, 0.5,,,
sehen          ,sehen        ;sieht            ;sah                ;hat#gesehen               ,watch/see      ,                     ,true, 0.5,,,
sein           ,sein         ;ist#             ;war                ;ist#gewesen               ,be             ,                     ,true, 0.5,,,
senden         ,senden       ;sendet           ;sandte             ;hat#gesandt               ,send           ,                     ,true, 0.5,,,
singen         ,singen       ;singt            ;sang               ;hat#gesungen              ,sing           ,                     ,true, 0.5,,,
sinken         ,sinken       ;sinkt            ;sank               ;ist#gesunken              ,sink           ,                     ,true, 0.5,,,
sinnen         ,sinnen       ;sinnt            ;sann               ;hat#gesonnen              ,think          ,                     ,true, 0.5,,,
sitzen         ,sitzen       ;sitzt            ;saß                ;hat#gesessen              ,sit            ,                     ,true, 0.5,,,
sollen         ,sollen       ;soll             ;sollte             ;hat#gesollt               ,should         ,                     ,true, 0.5,,,
speien         ,speien       ;speit            ;spie               ;hat#gespien               ,spit           ,                     ,true, 0.5,,,
spinnen        ,spinnen      ;spinnt           ;spann              ;hat#gesponnen             ,weave          ,                     ,true, 0.5,,,
sprechen       ,sprechen     ;spricht          ;sprach             ;hat#gesprochen            ,speak          ,                     ,true, 0.5,,,
sprießen       ,sprießen     ;sprießt          ;spross             ;ist#gesprossen            ,sprout         ,                     ,true, 0.5,,,
springen       ,springen     ;springt          ;sprang             ;ist#gesprungen            ,jump           ,                     ,true, 0.5,,,
stechen        ,stechen      ;sticht           ;stach              ;ist#gestochen             ,pierce         ,                     ,true, 0.5,,,
stehen         ,stehen       ;steht            ;stand              ;hat#gestanden             ,stand          ,                     ,true, 0.5,,,
stehlen        ,stehlen      ;stiehlt          ;stahl              ;hat#gestohlen             ,steal          ,                     ,true, 0.5,,,
steigen        ,steigen      ;steigt           ;stieg              ;ist#gestiegen             ,climb          ,                     ,true, 0.5,,,
sterben        ,sterben      ;stirbt           ;starb              ;ist#gestorben             ,die            ,                     ,true, 0.5,,,
stinken        ,stinken      ;stinkt           ;stank              ;hat#gestunken             ,stink          ,                     ,true, 0.5,,,
stoßen         ,stoßen       ;stößt            ;stieß              ;hat/ist#gestoßen          ,bump           ,                     ,true, 0.5,,,
streichen      ,streichen    ;streicht         ;strich             ;hat#gestrichen            ,brush          ,                     ,true, 0.5,,,
streiten       ,streiten     ;streitet         ;stritt             ;hat#gestritten            ,argue          ,                     ,true, 0.5,,,
tragen         ,tragen       ;trägt            ;trug               ;hat#getragen              ,wear           ,                     ,true, 0.5,,,
treffen        ,treffen      ;trifft           ;traf               ;hat#getroffen             ,meet           ,                     ,true, 0.5,,,
